100110-6,Leishmania sp 14kD Ab.IgG,,,,,,,,,,,,,
100111-4,Leishmania sp 16kD Ab.IgG,,,,,,,,,,,,,
100112-2,Fasciola sp Ab bands panel,,,,,,,,,,,,,
100113-0,Helicobacter pylori Ab panel,,,,,,,,,,,,,
100114-8,Toxoplasma gondii 30kD Ab,,,,,,,,,,,,,
10011-5,R' wave amplitude.lead AVL,,,,,,,,,,,,,
100115-5,Toxoplasma gondii 31kD Ab,,,,,,,,,,,,,
100116-3,Toxoplasma gondii 33kD Ab,,,,,,,,,,,,,
100117-1,Toxoplasma gondii 40kD Ab,,,,,,,,,,,,,
100118-9,Toxoplasma gondii 41kD Ab,,,,,,,,,,,,,
100119-7,Toxoplasma gondii 45kD Ab,,,,,,,,,,,,,
100120-5,Chlamydia trachomatis Ab panel,,,,,,,,,,,,,
100121-3,Chlamydia trachomatis Ab.IgA,,,,,,,,,,,,,
100122-1,Chlamydophila pneumoniae Ab panel,,,,,,,,,,,,,
10012-3,R' wave amplitude.lead AVR,,,,,,,,,,,,,
100123-9,Chlamydophila pneumoniae Ab.IgA,,,,,,,,,,,,,
100124-7,Chlamydophila pneumoniae Ab.IgA,,,,,,,,,,,,,
100125-4,Chlamydophila psittaci Ab panel,,,,,,,,,,,,,
100126-2,Bordetella pertussis Ab.IgG panel,,,,,,,,,,,,,
100127-0,Campylobacter sp Ab panel,,,,,,,,,,,,,
100128-8,Cryptococcus sp Ag panel,,,,,,,,,,,,,
100129-6,Schistosoma sp Ab,,,,,,,,,,,,,
100130-4,Schistosoma mansoni Ab,,,,,,,,,,,,,
10013-1,R' wave amplitude.lead I,,,,,,,,,,,,,
100131-2,Schistosoma sp 8kD Ab,,,,,,,,,,,,,
100132-0,Schistosoma sp 9kD Ab,,,,,,,,,,,,,
100133-8,Schistosoma sp 10kD Ab,,,,,,,,,,,,,
100134-6,Schistosoma sp 11kD Ab,,,,,,,,,,,,,
100135-3,Schistosoma sp 12-13kD Ab,,,,,,,,,,,,,
100136-1,Schistosoma sp 14-15kD Ab,,,,,,,,,,,,,
100137-9,Schistosoma sp 15-16kD Ab,,,,,,,,,,,,,
100138-7,Schistosoma sp 18-19kD Ab,,,,,,,,,,,,,
100139-5,Schistosoma sp 22-24kD Ab,,,,,,,,,,,,,
100140-3,Schistosoma sp 30-34kD Ab,,,,,,,,,,,,,
100141-1,Schistosoma sp 65kD Ab,,,,,,,,,,,,,
100142-9,Schistosoma sp 70kD Ab,,,,,,,,,,,,,
100143-7,Schistosoma sp 80kD Ab,,,,,,,,,,,,,
100144-5,Schistosoma sp 95kD Ab,,,,,,,,,,,,,
100145-2,Schistosoma sp 110kD Ab,,,,,,,,,,,,,
100146-0,Schistosoma sp 120kD Ab,,,,,,,,,,,,,
100147-8,Toxoplasma gondii Ab bands panel,,,,,,,,,,,,,
100148-6,Schistosoma sp Ab bands panel,,,,,,,,,,,,,
10014-9,R' wave amplitude.lead II,,,,,,,,,,,,,
100149-4,6-oxo-piperidine-2-carboxylate & 6(R+S)-oxo-propylpiperidine-2-carboxylate panel,,,,,,,,,,,,,
100150-2,6(R+S)-oxo-propylpiperidine-2-carboxylate,,,,,,,,,,,,,
100151-0,6-oxo-piperidine-2-carboxylate,,,,,,,,,,,,,
100152-8,6-oxo-piperidine-2-carboxylate/Creatinine,,,,,,,,,,,,,
100153-6,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine,,,,,,,,,,,,,
100154-4,Collection supervision level,,,,,,,,,,,,,
100155-1,Analysis method,,,,,,,,,,,,,
10015-6,R' wave amplitude.lead III,,,,,,,,,,,,,
100156-9,SARS coronavirus 2 variant,,,,,,,,,,,,,
100157-7,SARS coronavirus 2 lineage,,,,,,,,,,,,,
100158-5,Albumin,,,,,,,,,,,,,
100159-3,Knee Society Score pre-op panel,,,,,,,,,,,,,
100160-1,Knee replacement,,,,,,,,,,,,,
100161-9,Charnley Functional Classification,,,,,,,,,,,,,
100162-7,Alignment^W standing,,,,,,,,,,,,,
100163-5,Medial &or lateral instability^W full extension,,,,,,,,,,,,,
10016-4,R' wave amplitude.lead V1,,,,,,,,,,,,,
100164-3,Anterior-posterior instability^W 90 degree flexion,,,,,,,,,,,,,
100165-0,Range of motion,,,,,,,,,,,,,
100166-8,Flexion contracture range,,,,,,,,,,,,,
100167-6,Extensor lag range,,,,,,,,,,,,,
100168-4,Knee pain severity with level walking,,,,,,,,,,,,,
100169-2,Knee pain severity with stairs or inclines,,,,,,,,,,,,,
1001-7,DBG Ab,,,,,,,,,,,,,
100170-0,Knee feels normal,,,,,,,,,,,,,
100171-8,Satisfaction with level of knee pain while sitting,,,,,,,,,,,,,
10017-2,R' wave amplitude.lead V2,,,,,,,,,,,,,
100172-6,Satisfaction with level of knee pain while lying in bed,,,,,,,,,,,,,
100173-4,Satisfaction with knee function while getting out of bed,,,,,,,,,,,,,
100174-2,Satisfaction with knee function while performing light household duties,,,,,,,,,,,,,
100175-9,Satisfaction with knee function while performing recreational activities,,,,,,,,,,,,,
100176-7,Expect surgery to relieve pain,,,,,,,,,,,,,
100177-5,Expect surgery will improve ability to perform activities of daily living,,,,,,,,,,,,,
100178-3,"Expect surgery will improve ability to perform leisure, recreational, or sports activities",,,,,,,,,,,,,
100179-1,Walk without assistive mobility devices,,,,,,,,,,,,,
10018-0,R' wave amplitude.lead V3,,,,,,,,,,,,,
100180-9,Assistive mobility devices used,,,,,,,,,,,,,
100181-7,Assistive mobility devices used due to health condition,,,,,,,,,,,,,
100182-5,Duration of standing before sitting due to knee discomfort,,,,,,,,,,,,,
100183-3,Duration of walking before stopping due to knee discomfort,,,,,,,,,,,,,
100184-1,How bothersome is knee when walking on an uneven surface,,,,,,,,,,,,,
100185-8,How bothersome is knee when turning or pivoting leg,,,,,,,,,,,,,
100186-6,How bothersome is knee when climbing up or down a flight of stairs,,,,,,,,,,,,,
100187-4,How bothersome is knee when getting up from a low seat without armrests,,,,,,,,,,,,,
100188-2,How bothersome is knee when getting into or out of a car,,,,,,,,,,,,,
100189-0,How bothersome is knee when moving laterally,,,,,,,,,,,,,
100190-8,How bothersome is knee when climbing a ladder or step stool,,,,,,,,,,,,,
100191-6,How bothersome is knee when carrying a bag for one block,,,,,,,,,,,,,
100192-4,How bothersome is knee when squatting,,,,,,,,,,,,,
100193-2,How bothersome is knee when kneeling,,,,,,,,,,,,,
100194-0,How bothersome is knee when running,,,,,,,,,,,,,
100195-7,Pain severity^during activity,,,,,,,,,,,,,
100196-5,Pre-op total score,,,,,,,,,,,,,
100197-3,Exercise activity & pain severity panel,,,,,,,,,,,,,
10019-8,R' wave amplitude.lead V4,,,,,,,,,,,,,
100198-1,Pre-op objective knee indicators score,,,,,,,,,,,,,
100199-9,Pre-op symptoms score,,,,,,,,,,,,,
100200-5,Pre-op patient expectations score,,,,,,,,,,,,,
100201-3,Pre-op functional activities score,,,,,,,,,,,,,
100202-1,Pre-op discretionary knee activities score,,,,,,,,,,,,,
100203-9,Knee Society Score post-op panel,,,,,,,,,,,,,
100204-7,Accuracy of pre-surgery expectations of pain relief,,,,,,,,,,,,,
100205-4,Accuracy of pre-surgery expectations to perform activities of daily living,,,,,,,,,,,,,
10020-6,R' wave amplitude.lead V5,,,,,,,,,,,,,
100206-2,"Accuracy of pre-surgery expectations to perform leisure, recreational, or sports activities",,,,,,,,,,,,,
100207-0,Post-op total score,,,,,,,,,,,,,
100208-8,Post-op objective knee indicators score,,,,,,,,,,,,,
100209-6,Post-op symptoms score,,,,,,,,,,,,,
100210-4,Post-op patient expectations score,,,,,,,,,,,,,
100211-2,Post-op functional activities score,,,,,,,,,,,,,
100212-0,Post-op discretionary knee activities score,,,,,,,,,,,,,
100213-8,Prostate cancer multigene analysis,,,,,,,,,,,,,
10021-4,R' wave amplitude.lead V6,,,,,,,,,,,,,
100214-6,Dental model prior authorization,,,,,,,,,,,,,
100215-3,Episode of care medical records,,,,,,,,,,,,,
100216-1,Synoptic report,,,,,,,,,,,,,
100217-9,Synoptic report,,,,,,,,,,,,,
100218-7,Synoptic report,,,,,,,,,,,,,
100219-5,Synoptic report,,,,,,,,,,,,,
100220-3,Synoptic report,,,,,,,,,,,,,
100221-1,Synoptic report,,,,,,,,,,,,,
10022-2,R' wave duration.lead AVF,,,,,,,,,,,,,
100222-9,Synoptic report,,,,,,,,,,,,,
100223-7,Physical findings,,,,,,,,,,,,,
100224-5,Segmental wall motion panel,,,,,,,,,,,,,
100225-2,Bone density quantitative ultrasound study,,,,,,,,,,,,,
100226-0,Small bowel capsule endoscopy study,,,,,,,,,,,,,
100227-8,Colon capsule endoscopy study,,,,,,,,,,,,,
100228-6,Upper gastrointestinal capsule endoscopy study,,,,,,,,,,,,,
100229-4,Endoscopic ultrasound study,,,,,,,,,,,,,
10023-0,R' wave duration.lead AVL,,,,,,,,,,,,,
100230-2,Routine prenatal assessment panel,,,,,,,,,,,,,
100231-0,Bronchial endoscopic ultrasound study,,,,,,,,,,,,,
100232-8,Impacts of Events Scale-Revised panel,,,,,,,,,,,,,
100233-6,Reminders brought back feelings about adverse event,,,,,,,,,,,,,
100234-4,Trouble staying asleep,,,,,,,,,,,,,
100235-1,Other things triggered persistent thoughts about adverse event,,,,,,,,,,,,,
100236-9,Felt irritable &or angry,,,,,,,,,,,,,
100237-7,Avoided getting upset when unintentionally thought about adverse event,,,,,,,,,,,,,
100238-5,Thought about adverse event unintentionally,,,,,,,,,,,,,
100239-3,Felt as if adverse event did not happen,,,,,,,,,,,,,
100240-1,Avoided reminders of adverse event,,,,,,,,,,,,,
100241-9,Experienced mental images of adverse event,,,,,,,,,,,,,
100242-7,Easily startled,,,,,,,,,,,,,
100243-5,Tried to not think of adverse event,,,,,,,,,,,,,
100244-3,"Aware of feelings about adverse event, but did not address them",,,,,,,,,,,,,
100245-0,Feelings about adverse event were numb,,,,,,,,,,,,,
100246-8,Acted or felt the same as during adverse event,,,,,,,,,,,,,
100247-6,Trouble falling asleep,,,,,,,,,,,,,
10024-8,R' wave duration.lead AVR,,,,,,,,,,,,,
100248-4,Waves of strong feelings about adverse event,,,,,,,,,,,,,
100249-2,Tried to remove adverse event from memory,,,,,,,,,,,,,
1002-5,DBG Ab,,,,,,,,,,,,,
100250-0,Trouble concentrating,,,,,,,,,,,,,
100251-8,Reminders of adverse event caused physical reactions,,,,,,,,,,,,,
100252-6,Had dreams about adverse event,,,,,,,,,,,,,
100253-4,Felt watchful and on-guard,,,,,,,,,,,,,
100254-2,Tried not to talk about adverse event,,,,,,,,,,,,,
10025-5,R' wave duration.lead I,,,,,,,,,,,,,
100255-9,Total Score,,,,,,,,,,,,,
100256-7,Fallen in last 6Mo,,,,,,,,,,,,,
100257-5,Feel unsteady when standing or walking,,,,,,,,,,,,,
100258-3,History of fall related injury,,,,,,,,,,,,,
100259-1,Aware of tactile sensations,,,,,,,,,,,,,
100260-9,Easy to describe thoughts &or feelings,,,,,,,,,,,,,
100261-7,Critical of own thoughts &or feelings,,,,,,,,,,,,,
100262-5,Able to notice distressing thoughts &or feelings without having to react,,,,,,,,,,,,,
10026-3,R' wave duration.lead II,,,,,,,,,,,,,
100263-3,Easily distracted,,,,,,,,,,,,,
100264-1,Able to notice thoughts &or feelings without being overwhelmed,,,,,,,,,,,,,
100265-8,Aware of dietary intake impact on self,,,,,,,,,,,,,
100266-6,Difficult to describe thoughts &or feelings,,,,,,,,,,,,,
100267-4,Aware of auditory stimuli,,,,,,,,,,,,,
100268-2,Able to avoid immediate reaction in difficult situations,,,,,,,,,,,,,
100269-0,Do things without paying attention,,,,,,,,,,,,,
100270-8,Recover quickly from distressing thoughts &or images,,,,,,,,,,,,,
10027-1,R' wave duration.lead III,,,,,,,,,,,,,
100271-6,Aware of olfactory stimuli,,,,,,,,,,,,,
100272-4,Aware of visual stimuli,,,,,,,,,,,,,
100273-2,Aware of emotions affect on thoughts &or behavior,,,,,,,,,,,,,
100274-0,Observing score,,,,,,,,,,,,,
100275-7,Describing score,,,,,,,,,,,,,
100276-5,Acting with awareness score,,,,,,,,,,,,,
100277-3,Nonjudging score,,,,,,,,,,,,,
100278-1,Nonreactivity score,,,,,,,,,,,,,
100279-9,Total score,,,,,,,,,,,,,
100280-7,Five Facet Mindfulness Questionnaire panel,,,,,,,,,,,,,
100281-5,D Ab,,,,,,,,,,,,,
100282-3,Vaccine exemption certificate,,,,,,,,,,,,,
100283-1,Harris Hip Score panel,,,,,,,,,,,,,
100284-9,Walking - functional ability,,,,,,,,,,,,,
100285-6,Comfortable seated position,,,,,,,,,,,,,
100286-4,Able to board public transportation,,,,,,,,,,,,,
100287-2,Put on shoes and socks,,,,,,,,,,,,,
100288-0,Absence of deformity score,,,,,,,,,,,,,
10028-9,R' wave duration.lead V1,,,,,,,,,,,,,
100289-8,Absence of hip deformity measurements,,,,,,,,,,,,,
100290-6,Range of motion score,,,,,,,,,,,,,
100291-4,Total Score,,,,,,,,,,,,,
100292-2,Pre-op patient satisfaction score,,,,,,,,,,,,,
100293-0,Flexion range of motion,,,,,,,,,,,,,
100294-8,Abduction range of motion,,,,,,,,,,,,,
100295-5,Adduction range of motion,,,,,,,,,,,,,
100296-3,External rotation range of motion,,,,,,,,,,,,,
10029-7,R' wave duration.lead V2,,,,,,,,,,,,,
100297-1,Internal rotation range of motion,,,,,,,,,,,,,
100298-9,Repetition count,,,,,,,,,,,,,
100299-7,Post-op patient satisfaction score,,,,,,,,,,,,,
100300-3,End time,,,,,,,,,,,,,
100301-1,Start time,,,,,,,,,,,,,
100302-9,Time period start & end panel,,,,,,,,,,,,,
100303-7,Condition certainty of presence,,,,,,,,,,,,,
100304-5,Flights climbed,,,,,,,,,,,,,
10030-5,R' wave duration.lead V3,,,,,,,,,,,,,
100305-2,IDH1 gene exon 4 targeted mutation analysis,,,,,,,,,,,,,
100306-0,IDH2 gene exon 4 targeted mutation analysis,,,,,,,,,,,,,
100307-8,Behavioral screening elder mistreatment,,,,,,,,,,,,,
100308-6,Need help getting to essential places,,,,,,,,,,,,,
100309-4,Activity support person,,,,,,,,,,,,,
100310-2,Reliability of support person,,,,,,,,,,,,,
100311-0,"Need help to make sure there is enough food, medicines or any other things needed in house",,,,,,,,,,,,,
100312-8,"Person or persons that makes sure there is enough food, medicines or any other things needed in house",,,,,,,,,,,,,
10031-3,R' wave duration.lead V4,,,,,,,,,,,,,
100313-6,"Need help with household things such as cook meals, help feed, or provide correct medicines each day",,,,,,,,,,,,,
100314-4,Need help with house cleaning or yard work,,,,,,,,,,,,,
100315-1,"Need help getting out of bed, showered, or dressed",,,,,,,,,,,,,
100316-9,Need help to make sure bills get paid,,,,,,,,,,,,,
100317-7,Relationship of usual support person for daily activities,,,,,,,,,,,,,
100318-5,Have help with finances &or financial decisions,,,,,,,,,,,,,
100319-3,Relationship of financial support person,,,,,,,,,,,,,
100320-1,Financial support person usually asks for permission before making decisions,,,,,,,,,,,,,
10032-1,R' wave duration.lead V5,,,,,,,,,,,,,
100321-9,Financial support person usually makes good decisions about finances,,,,,,,,,,,,,
100322-7,Have access to paperwork for financial decisions made,,,,,,,,,,,,,
100323-5,Financial support person forged signature,,,,,,,,,,,,,
100324-3,Coercion of financial support person for signing a document in order to get money or possessions,,,,,,,,,,,,,
100325-0,Experienced theft by support person,,,,,,,,,,,,,
100326-8,Money spent or property sold without permission,,,,,,,,,,,,,
100327-6,Stranger forged signature for financial gain,,,,,,,,,,,,,
100328-4,Stranger forced document signature for financial gain,,,,,,,,,,,,,
100329-2,Feared for safety due to verbal attack,,,,,,,,,,,,,
1003-3,Indirect antiglobulin test.complement specific reagent,,,,,,,,,,,,,
100330-0,Felt humiliated due to ridicule,,,,,,,,,,,,,
100331-8,Coerced to do something,,,,,,,,,,,,,
100332-6,Ignored by close friend or relative for extended period,,,,,,,,,,,,,
100333-4,Physically hit or threatened,,,,,,,,,,,,,
100334-2,Been physically hurt with some degree of injury,,,,,,,,,,,,,
100335-9,Coerced sexual activity,,,,,,,,,,,,,
100336-7,Coerced touching of private body parts of self or others,,,,,,,,,,,,,
100337-5,Coerced to undress or expose private body area,,,,,,,,,,,,,
100338-3,Photographed in any degree of nudity without consent,,,,,,,,,,,,,
10033-9,R' wave duration.lead V6,,,,,,,,,,,,,
100339-1,Experienced attempted physical restraint,,,,,,,,,,,,,
100340-9,Range of motion panel,,,,,,,,,,,,,
100341-7,Rubella virus Ab.IgG index,,,,,,,,,,,,,
100342-5,Volatile Organic Compounds associated with SARS-CoV-2 infection,,,,,,,,,,,,,
100343-3,Influenza virus B RNA,,,,,,,,,,,,,
100344-1,Influenza virus A RNA,,,,,,,,,,,,,
100345-8,Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel,,,,,,,,,,,,,
100346-6,Clotting time.extrinsic coagulation system activated.platelets inhibited,,,,,,,,,,,,,
10034-7,S wave amplitude.lead AVF,,,,,,,,,,,,,
100347-4,Clot formation.extrinsic coagulation system activated.platelets inhibited,,,,,,,,,,,,,
100348-2,Model for end-stage liver disease sodium score,,,,,,,,,,,,,
100349-0,Multisection^W vasodilator IV,,,,,,,,,,,,,
100350-8,Sesamum indicum 1 Ab.IgE,,,,,,,,,,,,,
100351-6,Pioglitazone,,,,,,,,,,,,,
100352-4,Rosiglitazone,,,,,,,,,,,,,
100353-2,Norwalk Community Health Center Screening Tool,,,,,,,,,,,,,
10035-4,S wave amplitude.lead AVL,,,,,,,,,,,,,
100354-0,Frequency of participating in multi-modal communication without assistance,,,,,,,,,,,,,
100355-7,Frequency of participating in spoken language expression communication without assistance,,,,,,,,,,,,,
100356-5,Chlamydia trachomatis & Neisseria gonorrhoeae & Trichomonas vaginalis DNA,,,,,,,,,,,,,
100357-3,Naloxone,,,,,,,,,,,,,
100358-1,Phentermine,,,,,,,,,,,,,
100359-9,Gliadin 33 mer peptide,,,,,,,,,,,,,
100360-7,Brief Resilience Scale panel,,,,,,,,,,,,,
100361-5,Quickly recover from bad events,,,,,,,,,,,,,
10036-2,S wave amplitude.lead AVR,,,,,,,,,,,,,
100362-3,Difficulty making it through stressful events,,,,,,,,,,,,,
100363-1,Easily recover from a stressful event,,,,,,,,,,,,,
100364-9,Difficulty recovering from bad events,,,,,,,,,,,,,
100365-6,Easily recover from difficulties,,,,,,,,,,,,,
100366-4,Lengthy recovery from setbacks,,,,,,,,,,,,,
100367-2,Total Score,,,,,,,,,,,,,
100368-0,Amino Acids Urea Cycle Panel,,,,,,,,,,,,,
100369-8,Views^W Tl-201 IV,,,,,,,,,,,,,
10037-0,S wave amplitude.lead I,,,,,,,,,,,,,
100370-6,Orthopoxvirus DNA,,,,,,,,,,,,,
100371-4,Titin Ab,,,,,,,,,,,,,
100372-2,Abiraterone,,,,,,,,,,,,,
100373-0,Eucheuma Ab.IgG,,,,,,,,,,,,,
100374-8,Aloe vera Ab.IgG,,,,,,,,,,,,,
100375-5,Pimpinella anisum Ab.IgG,,,,,,,,,,,,,
100376-3,Bambusa vulgaris Ab.IgG,,,,,,,,,,,,,
100377-1,Goat cheese Ab.IgG,,,,,,,,,,,,,
100378-9,Sheep cheese Ab.IgG,,,,,,,,,,,,,
100379-7,Allium ampeloprasum Ab.IgG,,,,,,,,,,,,,
100380-5,Brassica oleracea var capitata f rubra Ab.IgG,,,,,,,,,,,,,
100381-3,Mentha piperita Ab.IgG,,,,,,,,,,,,,
100382-1,REMS addressed risk,,,,,,,,,,,,,
100383-9,Monkeypox virus DNA,,,,,,,,,,,,,
100384-7,Brassica rapa Ab.IgG,,,,,,,,,,,,,
100385-4,Valerianella locusta Ab.IgG,,,,,,,,,,,,,
100386-2,Rosmarinus officinalis Ab.IgG,,,,,,,,,,,,,
100387-0,Papaver somniferum Ab.IgG,,,,,,,,,,,,,
10038-8,S wave amplitude.lead II,,,,,,,,,,,,,
100388-8,Theobroma cacao Ab.IgG,,,,,,,,,,,,,
100389-6,Pistacia vera Ab.IgG,,,,,,,,,,,,,
100390-4,Helianthus annuus seed Ab.IgG,,,,,,,,,,,,,
100391-2,Phoenix dactylifera Ab.IgG,,,,,,,,,,,,,
100392-0,Duck meat Ab.IgG,,,,,,,,,,,,,
